subj_id,round_index,block,block_order,select_robot,human_speed_ms,robot_speed_ms,robot_errors_setting,steps_to_complete,round_total_time_ms,round_total_effort,round_total_errors,n_pushes,n_corrections,correction_time_ms,trial,prev_choice_robot,trial_in_block,post_switch,block_switch
4,4,2,"[2, 1]",1,2000,2000,2,12,31503,2,1,0,2,1717.0,4,1.0,4,0,0
4,5,2,"[2, 1]",1,2000,2000,2,12,31298,2,1,0,2,1474.0,5,1.0,5,0,0
4,6,2,"[2, 1]",1,2000,2000,2,12,33091,2,1,0,2,4011.0,6,1.0,6,0,0
4,7,2,"[2, 1]",1,2000,2000,2,12,30218,2,1,0,2,2194.0,7,1.0,7,0,0
4,8,2,"[2, 1]",1,2000,2000,2,12,29438,2,1,0,2,1517.0,8,1.0,8,0,1
4,9,1,"[2, 1]",1,8000,6000,6,4,38754,6,1,0,6,1390.0,9,1.0,1,1,0
4,10,1,"[2, 1]",0,8000,6000,6,4,35243,4,0,4,0,,10,1.0,2,0,0
4,11,1,"[2, 1]",0,8000,6000,6,4,35826,4,0,4,0,,11,0.0,3,0,0
4,12,1,"[2, 1]",0,8000,6000,6,4,35548,4,0,4,0,,12,0.0,4,0,0
4,13,1,"[2, 1]",0,8000,6000,6,4,35100,4,0,4,0,,13,0.0,5,0,0
4,14,1,"[2, 1]",0,8000,6000,6,4,35711,4,0,4,0,,14,0.0,6,0,0
4,15,1,"[2, 1]",0,8000,6000,6,4,35622,4,0,4,0,,15,0.0,7,0,0
4,16,1,"[2, 1]",1,8000,6000,6,4,37628,6,1,0,6,2794.0,16,0.0,8,0,1
5,1,2,"[2, 1]",1,2000,2000,2,12,27001,2,1,0,2,879.0,1,,1,1,0
5,2,2,"[2, 1]",0,2000,2000,2,12,29203,12,0,12,0,,2,1.0,2,0,0
5,3,2,"[2, 1]",1,2000,2000,2,12,26662,2,1,0,2,696.0,3,0.0,3,0,0
5,4,2,"[2, 1]",1,2000,2000,2,12,27145,2,1,0,2,901.0,4,1.0,4,0,0
5,5,2,"[2, 1]",1,2000,2000,2,12,26696,2,1,0,2,744.0,5,1.0,5,0,0
5,6,2,"[2, 1]",1,2000,2000,2,12,27154,2,1,0,2,977.0,6,1.0,6,0,0
5,7,2,"[2, 1]",1,2000,2000,2,12,33090,2,1,0,2,2277.0,7,1.0,7,0,0
5,8,2,"[2, 1]",1,2000,2000,2,12,26270,2,1,0,2,540.0,8,1.0,8,0,1
5,9,1,"[2, 1]",1,8000,6000,6,4,31144,6,1,0,6,684.0,9,1.0,1,1,0
5,10,1,"[2, 1]",0,8000,6000,6,4,33560,4,0,4,0,,10,1.0,2,0,0
5,11,1,"[2, 1]",0,8000,6000,6,4,33230,4,0,4,0,,11,0.0,3,0,0
5,12,1,"[2, 1]",0,8000,6000,6,4,33318,4,0,4,0,,12,0.0,4,0,0
5,13,1,"[2, 1]",0,8000,6000,6,4,33716,4,0,4,0,,13,0.0,5,0,0
5,14,1,"[2, 1]",0,8000,6000,6,4,33285,4,0,4,0,,14,0.0,6,0,0
5,15,1,"[2, 1]",0,8000,6000,6,4,33332,4,0,4,0,,15,0.0,7,0,0
5,16,1,"[2, 1]",0,8000,6000,6,4,33538,4,0,4,0,,16,0.0,8,0,1
6,1,2,"[2, 1]",1,2000,2000,2,12,29756,2,1,0,2,1557.0,1,,1,1,0
6,2,2,"[2, 1]",1,2000,2000,2,12,29790,2,1,0,2,2264.0,2,1.0,2,0,0
6,3,2,"[2, 1]",0,2000,2000,2,12,30654,12,0,12,0,,3,1.0,3,0,0
6,4,2,"[2, 1]",1,2000,2000,2,12,35567,2,1,0,2,2439.0,4,0.0,4,0,0
6,5,2,"[2, 1]",1,2000,2000,2,12,28946,2,1,0,2,1539.0,5,1.0,5,0,0
6,6,2,"[2, 1]",0,2000,2000,2,12,31049,12,0,12,0,,6,1.0,6,0,0
6,7,2,"[2, 1]",1,2000,2000,2,12,36048,2,1,0,2,4017.0,7,0.0,7,0,0
6,8,2,"[2, 1]",1,2000,2000,2,12,28458,2,1,0,2,869.0,8,1.0,8,0,1
6,9,1,"[2, 1]",1,8000,6000,6,4,35378,6,1,0,6,1574.0,9,1.0,1,1,0
6,10,1,"[2, 1]",0,8000,6000,6,4,33945,4,0,4,0,,10,1.0,2,0,0
6,11,1,"[2, 1]",0,8000,6000,6,4,38086,4,0,4,0,,11,0.0,3,0,0
6,12,1,"[2, 1]",0,8000,6000,6,4,34818,4,0,4,0,,12,0.0,4,0,0
6,13,1,"[2, 1]",1,8000,6000,6,4,36882,6,1,0,6,883.0,13,0.0,5,0,0
6,14,1,"[2, 1]",0,8000,6000,6,4,39104,4,0,4,0,,14,1.0,6,0,0
6,15,1,"[2, 1]",0,8000,6000,6,4,35103,4,0,4,0,,15,0.0,7,0,0
6,16,1,"[2, 1]",1,8000,6000,6,4,34228,6,1,0,6,700.0,16,0.0,8,0,1
7,1,2,"[2, 1]",1,2000,2000,2,12,32398,2,1,0,2,3832.0,1,,1,1,0
7,2,2,"[2, 1]",1,2000,2000,2,12,31913,2,1,0,2,1801.0,2,1.0,2,0,0
7,3,2,"[2, 1]",1,2000,2000,2,12,30042,2,1,0,2,1762.0,3,1.0,3,0,0
7,4,2,"[2, 1]",1,2000,2000,2,12,31136,2,1,0,2,1708.0,4,1.0,4,0,0
7,5,2,"[2, 1]",1,2000,2000,2,12,30050,2,1,0,2,1937.0,5,1.0,5,0,0
7,6,2,"[2, 1]",1,2000,2000,2,12,29772,2,1,0,2,1919.0,6,1.0,6,0,0
7,7,2,"[2, 1]",1,2000,2000,2,12,30252,2,1,0,2,1878.0,7,1.0,7,0,0
7,8,2,"[2, 1]",1,2000,2000,2,12,30650,2,1,0,2,1914.0,8,1.0,8,0,1
7,9,1,"[2, 1]",1,8000,6000,6,4,42921,6,1,0,6,1686.0,9,1.0,1,1,0
7,10,1,"[2, 1]",0,8000,6000,6,4,36206,4,0,4,0,,10,1.0,2,0,0
7,11,1,"[2, 1]",0,8000,6000,6,4,35483,4,0,4,0,,11,0.0,3,0,0
7,12,1,"[2, 1]",0,8000,6000,6,4,37576,4,0,4,0,,12,0.0,4,0,0
7,13,1,"[2, 1]",0,8000,6000,6,4,35726,4,0,4,0,,13,0.0,5,0,0
7,14,1,"[2, 1]",0,8000,6000,6,4,35248,4,0,4,0,,14,0.0,6,0,0
7,15,1,"[2, 1]",0,8000,6000,6,4,35763,4,0,4,0,,15,0.0,7,0,0
7,16,1,"[2, 1]",1,8000,6000,6,4,43741,6,1,0,6,2189.0,16,0.0,8,0,1
8,1,1,"[1, 2]",1,8000,6000,6,4,35771,6,1,0,6,954.0,1,,1,1,0
