subj_id,t,block_index,block_index_zero,batch_within_block,condition_pair,first_condition,second_condition,block_condition,block_condition_label,mode,y,batch_time_sec,correct_count,n_trials,x_reward_rate,x_effort_high,choice_rt_ms,choice_button_order,manual_left,idle_batch,snippets_hovered_count
2,11,2,1,3,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,manual,0,12.853399999856949,3,4,14.004076742496403,0,779.2999999523163,ai|manual,False,False,
2,12,2,1,4,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,manual,0,11.542799999713898,3,4,15.594136605023175,0,701.1000001430511,ai|manual,False,False,
2,13,2,1,5,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,manual,0,15.248,4,4,15.739769150052467,0,812.5,ai|manual,False,False,
2,14,2,1,6,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,manual,0,13.569900000333789,3,4,13.26465191309976,0,604.9000000953674,ai|manual,False,False,
2,15,2,1,7,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,manual,0,11.607099999904632,3,4,15.507749567202742,0,784.7999999523163,ai|manual,False,False,
2,16,2,1,8,effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,full_suboptimal,Full Suboptimal,manual,0,11.4037999997139,4,4,21.045616374017538,0,574.7000000476837,ai|manual,False,False,
3,1,1,0,1,optimal|full_suboptimal,optimal,full_suboptimal,optimal,Optimal,ai,1,31.931199999928474,3,4,5.637119807598938,0,2506.1999999284744,ai|manual,False,False,5.0
3,2,1,0,2,optimal|full_suboptimal,optimal,full_suboptimal,optimal,Optimal,manual,0,24.014799999952317,3,4,7.495377850340515,0,2679.0,ai|manual,False,False,
3,3,1,0,3,optimal|full_suboptimal,optimal,full_suboptimal,optimal,Optimal,ai,1,29.269200000166897,4,4,8.199745807833201,0,1142.7999999523165,ai|manual,False,False,6.0
3,4,1,0,4,optimal|full_suboptimal,optimal,full_suboptimal,optimal,Optimal,ai,1,36.55269999980926,2,4,3.282931219872298,0,1226.399999976158,ai|manual,False,False,11.0
3,5,1,0,5,optimal|full_suboptimal,optimal,full_suboptimal,optimal,Optimal,ai,1,30.22600000011921,3,4,5.9551379606726025,0,2256.900000095367,ai|manual,False,False,8.0
3,6,1,0,6,optimal|full_suboptimal,optimal,full_suboptimal,optimal,Optimal,ai,1,31.3335,2,4,3.8297668629422184,0,7598.800000071526,ai|manual,False,False,8.0
3,7,1,0,7,optimal|full_suboptimal,optimal,full_suboptimal,optimal,Optimal,ai,1,30.76620000004768,2,4,3.900384187836458,0,3461.5,ai|manual,False,False,9.0
3,8,1,0,8,optimal|full_suboptimal,optimal,full_suboptimal,optimal,Optimal,manual,0,30.0995,3,4,5.980165783484776,0,3658.5,ai|manual,False,False,
3,9,2,1,1,optimal|full_suboptimal,optimal,full_suboptimal,full_suboptimal,Full Suboptimal,ai,1,80.20230000007153,3,4,2.2443246640038934,1,1765.5,ai|manual,False,False,28.0
