condition_pair,first_condition,second_condition,choice_number,n_participants,n_choices,n_choose_ai,p_choose_ai,se_choose_ai,pair_label
effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,10,26,26,8,0.3076923076923077,0.09051513929454648,Effort Penalty -> Full Suboptimal
effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,11,26,26,7,0.2692307692307692,0.08698929247330862,Effort Penalty -> Full Suboptimal
effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,12,26,26,8,0.3076923076923077,0.09051513929454648,Effort Penalty -> Full Suboptimal
effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,13,26,26,9,0.34615384615384615,0.09330087000722768,Effort Penalty -> Full Suboptimal
effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,14,26,26,5,0.19230769230769232,0.07729201466043273,Effort Penalty -> Full Suboptimal
effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,15,26,26,7,0.2692307692307692,0.08698929247330862,Effort Penalty -> Full Suboptimal
effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,16,26,26,7,0.2692307692307692,0.08698929247330862,Effort Penalty -> Full Suboptimal
full_suboptimal|full_suboptimal,full_suboptimal,full_suboptimal,1,25,25,12,0.48,0.09991996797437437,Full Suboptimal -> Full Suboptimal
full_suboptimal|full_suboptimal,full_suboptimal,full_suboptimal,2,25,25,13,0.52,0.09991996797437437,Full Suboptimal -> Full Suboptimal
full_suboptimal|full_suboptimal,full_suboptimal,full_suboptimal,3,25,25,13,0.52,0.09991996797437437,Full Suboptimal -> Full Suboptimal
full_suboptimal|full_suboptimal,full_suboptimal,full_suboptimal,4,25,25,10,0.4,0.09797958971132711,Full Suboptimal -> Full Suboptimal
full_suboptimal|full_suboptimal,full_suboptimal,full_suboptimal,5,25,25,9,0.36,0.096,Full Suboptimal -> Full Suboptimal
full_suboptimal|full_suboptimal,full_suboptimal,full_suboptimal,6,25,25,6,0.24,0.0854166260162505,Full Suboptimal -> Full Suboptimal
full_suboptimal|full_suboptimal,full_suboptimal,full_suboptimal,7,25,25,8,0.32,0.0932952303175248,Full Suboptimal -> Full Suboptimal
full_suboptimal|full_suboptimal,full_suboptimal,full_suboptimal,8,25,25,6,0.24,0.0854166260162505,Full Suboptimal -> Full Suboptimal
full_suboptimal|full_suboptimal,full_suboptimal,full_suboptimal,9,25,25,9,0.36,0.096,Full Suboptimal -> Full Suboptimal
full_suboptimal|full_suboptimal,full_suboptimal,full_suboptimal,10,25,25,7,0.28,0.0897997772825746,Full Suboptimal -> Full Suboptimal
full_suboptimal|full_suboptimal,full_suboptimal,full_suboptimal,11,25,25,8,0.32,0.0932952303175248,Full Suboptimal -> Full Suboptimal
full_suboptimal|full_suboptimal,full_suboptimal,full_suboptimal,12,25,25,10,0.4,0.09797958971132711,Full Suboptimal -> Full Suboptimal
full_suboptimal|full_suboptimal,full_suboptimal,full_suboptimal,13,25,25,7,0.28,0.0897997772825746,Full Suboptimal -> Full Suboptimal
full_suboptimal|full_suboptimal,full_suboptimal,full_suboptimal,14,25,25,7,0.28,0.0897997772825746,Full Suboptimal -> Full Suboptimal
full_suboptimal|full_suboptimal,full_suboptimal,full_suboptimal,15,25,25,8,0.32,0.0932952303175248,Full Suboptimal -> Full Suboptimal
full_suboptimal|full_suboptimal,full_suboptimal,full_suboptimal,16,25,25,8,0.32,0.0932952303175248,Full Suboptimal -> Full Suboptimal
